timeTag,devStatus,devDeep,devSpeed,dataTemp,dataConv,dataP,dataSal,dataSV,dataPH,dataZ,dataY,iatitude,longitude,shipSpeed,oceanDeep
2020-06-20 14:55:30,1,299.54857090541293,2.6057143211364746,11.821856907435826,33.86457116263254,326.50794764927457,38.79771368844168,1499.735700334821,1027.0840018136162,10.04857131413051,48.84628568376814,,,2,1200
2020-06-20 14:55:31,1,303.0800018310547,3.75000007947286,11.51949977874756,33.845499674479164,330.35719807942706,38.49850082397461,1498.7266642252605,1027.1430053710938,9.791666666666666,48.2901668548584,,,2,1200
2020-06-20 14:55:32,1,306.35333760579425,3.608333309491476,11.284666697184244,33.87266604105631,333.9251352945964,38.309333165486656,1497.9966837565105,1027.2230021158855,9.589999993642172,47.89933331807455,,,2,1200
2020-06-20 14:55:33,1,309.8614283970424,3.2457143579210554,11.009142739432198,33.82971463884626,337.7489536830357,38.01171439034598,1497.037144252232,1027.2568533761162,9.357142857142858,47.368856702532085,,,2,1200
2020-06-20 14:55:34,1,313.35333251953125,3.393333375453949,10.920166651407875,33.82533391316732,341.5551350911458,37.92633310953776,1496.7766723632812,1027.2853393554688,9.283333619435629,47.20966593424479,,,2,1200
2020-06-20 14:55:35,1,316.4266662597656,3.581666648387909,10.86650005976359,33.81066640218099,344.9050649007161,37.8634999593099,1496.6216837565105,1027.2976684570312,9.234999974568684,47.09849993387858,,,2,1200
2020-06-20 14:55:36,1,319.75,3.21285719530923,10.650000163487023,33.79600034441267,348.5274963378906,37.649571555001394,1495.8914446149554,1027.3405936104912,9.052857262747628,46.70242854527065,,,2,1200
2020-06-20 14:55:37,1,323.2366638183594,3.494999965031942,10.503833611806234,33.80650011698405,352.3279622395833,37.52733357747396,1495.4400227864585,1027.3908081054688,8.926666736602783,46.45399983723959,,,2,1200
2020-06-20 14:55:38,1,326.4171404157366,3.270000014986311,10.296857016427175,33.79928479875837,355.794686453683,37.33099964686802,1494.7471400669642,1027.4368547712054,8.751428604125977,46.08242906842913,,,2,1200
2020-06-20 14:55:39,1,329.9533284505208,3.038333356380462,10.166999816894531,33.80799992879232,359.6491292317708,37.221333821614586,1494.3500162760415,1027.482157389323,8.641666571299234,45.8630002339681,,,2,1200
2020-06-20 14:55:40,1,333.23571341378346,3.471428598676409,10.08214269365583,33.80214255196707,363.2269287109375,37.13899993896485,1494.091448102679,1027.5075857979912,8.571428571428571,45.71042905535017,,,2,1200
2020-06-20 14:55:41,1,336.77500406901044,3.6883333325386047,9.97683334350586,33.822333017985024,367.0847422281901,37.06383387247721,1493.7916666666667,1027.5574951171875,8.481666564941406,45.54549980163574,,,2,1200
2020-06-20 14:55:42,1,340.1333262125651,3.4399999479452767,9.920666694641112,33.82850011189779,370.74534098307294,37.019832611083984,1493.6516723632812,1027.587137858073,8.431666692097982,45.45150057474772,,,2,1200
2020-06-20 14:55:43,1,342.9283396402995,3.0116666555404663,9.894833405812582,33.8158327738444,373.79188537597656,36.98483403523763,1493.588358561198,1027.5946858723958,8.411666552225748,45.39649963378906,,,2,1200
