timeTag,devDeep,cableOut,cableRelease,cableSpeed,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,DA1,DA2,DA3,DA4,HC1,HC2,wStatus,DI1,DI2,DI3,DI4,DO1,DO2
2020-06-20 14:54:45,117.53714098249164,158.07392229352678,2741.926095145089,6.2671429089137485,-14.1429,-4.4286,0.7143,86.7143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:46,122.68666712443034,164.46206410725912,2735.5379638671875,7.099999984105428,-14.0000,-4.3333,-0.6667,86.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:47,127.79571533203124,170.7713579450335,2729.228690011161,5.912857123783657,-13.7143,-3.2857,-0.4286,87.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:48,132.6183344523112,176.8925043741862,2723.1075439453125,6.039999961853027,-14.1667,-4.0000,1.6667,87.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:49,137.1316655476888,182.4742914835612,2717.525675455729,6.1549999713897705,-14.0000,-4.6667,0.1667,86.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:50,141.91857038225447,188.59722900390625,2711.402762276786,5.90285723549979,-14.0000,-4.2857,0.8571,86.7143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:51,146.51500193277994,194.54097747802732,2705.459025065104,5.87833325068156,-13.8333,-4.3333,-1.3333,87.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:52,150.88143048967635,200.5205623081752,2699.479422433036,6.352857044764927,-14.0000,-4.2857,-1.0000,86.7143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:53,155.3983357747396,206.59512074788407,2693.4048665364585,5.770000060399373,-14.3333,-4.3333,0.3333,87.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
2020-06-20 14:54:54,159.42666880289713,212.20199330647787,2687.798055013021,5.924999952316284,-14.0000,-4.1667,-1.6667,87.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2,798786,25168504,0,0,0,7360,0
